item,swapped,type,name1,name2,preamble,continuation_type,continuation_id,continuation
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,1,"The teacher never went to Greece.""  Given the context: What will Erika want to do next"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,1,"The teacher never went to Greece.""  Given the context: What will Erika want to do next"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,2,"The governor has never been to Greece."" Who is correct? To determine who is correct between Erika"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,2,"The governor has never been to Greece."" Who is correct? To determine who is correct between Erika"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,3,"She didn't go to a Greek restaurant."" Who is correct? To determine who is correct between E"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,3,"She didn't go to a Greek restaurant."" Who is correct? To determine who is correct between E"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,4,"She didn't go to a Greek restaurant."" Who is likely correct?  ""Option 1"":"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,4,"She didn't go to a Greek restaurant."" Who is likely correct?  ""Option 1"":"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,5,"The teacher only knew the governor."" What is the relationship between Erika and Cameron? To determine the"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,5,"The teacher only knew the governor."" What is the relationship between Erika and Cameron? To determine the"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,6,"The teacher never left New York."" If both of them are correct, how is this possible?

This"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,6,"The teacher never left New York."" If both of them are correct, how is this possible?

This"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,7,"The teacher is from the UK"".  Given the context: How would you describe Erika?"
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,vp1,7,"The teacher is from the UK"".  Given the context: How would you describe Erika?"
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,vp1,8,"The Governor is from the South"".  Given the context: How would you describe Erika?"
